age,fnlwgt,hours-per-week,race
39,77516,40,0
50,83311,13,0
38,215646,40,0
53,234721,40,1
28,338409,40,1
37,284582,40,0
49,160187,16,1
52,209642,45,0
31,45781,50,0
42,159449,40,0
37,280464,80,1
30,141297,40,2
23,122272,30,0
32,205019,50,1
40,121772,40,2
34,245487,45,3
25,176756,35,0
32,186824,40,0
38,28887,50,0
43,292175,45,0
40,193524,60,0
54,302146,20,1
35,76845,40,1
43,117037,40,0
59,109015,40,0
56,216851,40,0
19,168294,40,0
54,180211,60,2
39,367260,80,0
49,193366,40,0
23,190709,52,0
20,266015,44,1
45,386940,40,0
30,59951,40,0
22,311512,15,1
48,242406,40,0
21,197200,40,0
19,544091,25,0
31,84154,38,0
48,265477,40,0
31,507875,43,0
53,88506,40,0
24,172987,50,0
49,94638,40,0
25,289980,35,0
57,337895,40,1
53,144361,38,0
44,128354,40,0
41,101603,40,0
29,271466,43,0
25,32275,40,4
18,226956,30,0
47,51835,60,0
50,251585,55,0
47,109832,60,0
43,237993,40,0
46,216666,40,0
35,56352,40,0
41,147372,48,0
30,188146,40,0
30,59496,40,0
32,293936,40,0
48,149640,40,0
42,116632,45,0
29,105598,58,0
36,155537,40,0
28,183175,40,0
53,169846,40,0
49,191681,50,0
25,200681,40,0
19,101509,32,0
31,309974,40,1
29,162298,70,0
23,211678,40,0
79,124744,20,0
27,213921,40,0
40,32214,40,0
67,212759,2,0
18,309634,22,0
31,125927,40,0
18,446839,30,0
52,276515,40,0
46,51618,40,0
59,159937,48,0
44,343591,40,0
53,346253,35,0
49,268234,40,0
33,202051,50,0
30,54334,40,0
43,410867,50,0
57,249977,40,0
37,286730,40,0
28,212563,25,1
30,117747,35,2
34,226296,40,0
29,115585,50,0
48,191277,60,0
37,202683,48,0
48,171095,40,0
32,249409,40,1
76,124191,40,0
44,198282,60,0
47,149116,50,0
20,188300,40,0
29,103432,40,0
32,317660,40,0
17,304873,32,0
30,194901,40,0
31,189265,40,0
42,124692,40,0
24,432376,40,0
38,65324,40,0
56,335605,50,0
28,377869,25,0
36,102864,40,0
53,95647,50,0
56,303090,50,0
49,197371,40,1
55,247552,56,0
22,102632,41,0
21,199915,40,0
40,118853,60,0
30,77143,40,1
29,267989,50,0
19,301606,35,1
47,287828,40,0
20,111697,28,0
31,114937,40,0
35,129305,40,0
39,365739,40,0
28,69621,60,0
24,43323,40,0
38,120985,35,0
37,254202,50,0
46,146195,36,1
38,125933,40,0
43,56920,60,0
27,163127,35,0
20,34310,20,0
49,81973,40,2
61,66614,40,0
27,232782,40,0
19,316868,30,0
45,196584,40,0
70,105376,40,0
31,185814,30,1
22,175374,24,0
36,108293,24,0
64,181232,40,0
43,174662,40,0
47,186009,38,0
34,198183,40,0
33,163003,40,2
21,296158,35,0
52,252903,45,0
48,187715,46,0
23,214542,40,0
71,494223,2,1
29,191535,60,0
42,228456,50,1
68,38317,20,0
25,252752,40,0
44,78374,40,2
28,88419,40,2
45,201080,40,0
36,207157,40,0
39,235485,42,0
46,102628,40,0
18,25828,16,0
66,54826,20,0
27,124953,40,0
28,175325,40,0
51,96062,40,0
27,428030,50,0
28,149624,40,0
27,253814,25,0
21,312956,40,1
34,483777,40,1
18,183930,12,0
33,37274,65,0
44,181344,38,1
43,114580,40,0
30,633742,45,1
40,286370,40,0
37,29054,42,0
34,304030,40,1
41,143129,40,0
53,135105,50,0
31,99928,50,0
58,109567,1,0
38,155222,28,1
24,159567,40,0
41,523910,40,1
47,120939,45,0
41,130760,24,0
23,197387,40,0
36,99374,40,0
40,56795,55,0
35,138992,40,0
24,32921,40,0
26,397317,40,0
19,170653,40,0
51,259323,50,0
42,254817,40,0
37,48211,35,0
18,140164,40,0
36,128757,36,1
35,36270,60,0
58,210563,35,0
17,65368,12,0
44,160943,40,1
37,208358,40,0
35,153790,40,3
60,85815,40,2
54,125417,40,0
37,635913,60,1
50,313321,40,0
38,182609,50,0
45,109434,55,0
25,255004,40,0
31,197860,40,0
64,187656,40,0
90,51744,40,1
54,176681,20,1
53,140359,35,0
18,243313,40,0
60,24215,10,3
66,167687,50,0
75,314209,20,0
65,176796,40,0
35,538583,40,1
41,130408,38,1
25,159732,42,0
33,110978,40,4
28,76714,55,0
59,268700,40,0
40,170525,38,0
41,180138,50,0
38,115076,70,0
23,115458,40,0
40,347890,40,0
41,196001,20,0
24,273905,50,0
20,119156,20,0
38,179488,40,0
56,203580,35,0
58,236596,45,0
32,183916,34,0
40,207578,60,0
45,153141,40,0
41,112763,40,0
42,390781,40,1
59,171328,30,1
19,27382,40,0
58,259014,20,0
42,303044,40,2
20,117789,40,0
32,172579,30,0
45,187666,45,0
50,204518,40,0
36,150042,40,0
45,98092,60,0
17,245918,12,0
59,146013,40,0
26,378322,40,0
37,257295,75,2
19,218956,24,0
64,21174,40,0
33,185480,45,0
33,222205,40,0
61,69867,40,0
17,191260,24,0
50,30653,98,0
27,209109,35,0
30,70377,40,0
43,477983,40,1
44,170924,40,0
35,190174,40,0
25,193787,40,0
24,279472,48,0
22,34918,15,0
42,97688,40,0
34,175413,45,1
60,173960,42,0
21,205759,40,0
57,425161,40,0
41,220531,60,0
50,176609,45,0
25,371987,40,0
50,193884,40,0
36,200352,45,0
31,127595,40,0
29,220419,56,0
21,231931,45,0
27,248402,40,1
65,111095,16,0
37,57424,60,0
39,157443,40,2
24,278130,40,0
38,169469,80,0
48,146268,40,0
21,153718,25,2
31,217460,45,0
55,238638,40,0
24,303296,40,2
43,173321,40,0
26,193945,45,0
46,83082,33,0
35,193815,40,0
41,34987,54,0
26,59306,40,0
34,142897,35,2
19,860348,25,1
36,205607,40,1
22,199698,15,0
24,191954,40,0
77,138714,40,0
22,399087,40,0
29,423158,40,0
62,159841,24,0
39,174308,40,0
43,50356,50,0
35,186110,45,0
29,200381,40,0
76,174309,10,0
63,78383,45,0
23,211601,15,1
43,187728,50,0
58,321171,40,0
66,127921,55,0
41,206565,45,1
26,224563,40,0
47,178686,40,0
55,98545,40,0
53,242606,40,0
17,270942,48,0
30,94235,40,0
49,71195,60,0
19,104112,30,1
45,261192,40,1
26,94936,40,0
38,296478,40,0
36,119272,40,0
33,85043,20,0
22,293364,40,1
43,241895,42,0
67,36135,8,0
30,151989,40,0
56,101128,25,0
31,156464,25,0
33,117963,40,0
26,192262,40,0
33,111363,40,0
46,329752,30,0
59,372020,40,0
38,95432,40,0
65,161400,40,4
40,96129,40,0
42,111949,35,0
26,117125,40,0
36,348022,24,0
62,270092,40,0
43,180609,45,0
43,174575,45,0
22,410439,55,0
28,92262,40,0
56,183081,45,0
22,362589,15,0
57,212448,45,0
39,481060,40,0
26,185885,15,0
17,89821,10,0
40,184018,38,0
45,256649,40,1
44,160323,40,1
20,350845,10,0
33,267404,40,0
23,35633,40,0
46,80914,30,0
38,172927,50,0
54,174319,40,0
46,214955,45,0
25,344991,40,0
46,108699,40,0
36,117312,40,0
23,396099,25,0
29,134152,40,0
44,162028,6,0
19,25429,16,0
19,232392,40,0
35,220098,40,0
27,301302,50,0
46,277946,40,0
34,98101,45,0
34,196164,35,0
44,115562,40,0
45,96975,40,0
20,137300,35,0
25,86872,55,0
52,132178,50,0
20,416103,40,0
28,108574,40,0
50,288353,40,0
34,227689,64,0
28,166481,40,4
41,445382,65,0
28,110145,40,0
46,317253,25,0
28,123147,40,0
32,364657,50,0
41,42346,24,1
24,241951,40,1
33,118500,40,0
46,188386,60,0
31,1033222,40,0
35,92440,50,0
52,190762,40,0
30,426017,19,0
34,243867,40,1
34,240283,40,0
20,61777,30,0
17,175024,18,0
32,92003,40,0
29,188401,40,0
33,228528,35,0
25,133373,60,0
36,255191,40,0
23,204653,72,0
63,222289,40,0
47,287480,40,0
80,107762,24,0
17,202521,40,0
40,204116,40,0
30,29662,25,0
27,116358,40,2
33,208405,50,0
34,284843,60,1
34,117018,40,0
23,81281,40,0
42,340148,40,0
29,363425,40,0
45,45857,28,0
24,191073,40,0
44,116632,40,0
27,405855,40,0
20,298227,35,0
44,290521,40,1
51,56915,40,3
20,146538,40,0
17,258872,5,0
19,206399,40,1
45,197332,55,0
60,245062,40,0
42,197583,40,1
44,234885,40,0
40,72887,40,2
30,180374,40,0
38,351299,50,1
23,54012,60,0
32,115745,40,0
44,116632,40,0
54,288825,40,1
32,132601,50,0
50,193374,40,0
24,170070,20,0
37,126708,60,0
52,35598,40,0
38,33983,40,0
49,192776,45,0
30,118551,16,0
60,201965,40,0
22,139883,40,0
35,285020,40,0
30,303990,60,0
67,49401,24,0
46,279196,40,0
17,211870,6,0
22,281432,30,0
27,161155,40,0
23,197904,35,0
33,111746,45,0
43,170721,20,0
28,70100,20,0
41,193626,40,0
52,271749,40,1
25,189775,20,1
63,401531,35,0
59,286967,45,0
45,164427,40,0
38,91039,60,0
40,347934,35,0
46,371373,40,0
35,32220,60,0
34,187251,25,0
33,178107,20,0
41,343121,36,0
20,262749,40,0
23,403107,40,0
26,64293,35,0
72,303588,20,0
23,324960,40,0
62,114060,40,0
52,48925,40,0
58,180980,42,0
25,181054,40,0
24,388093,40,1
19,249609,8,0
43,112131,40,0
47,543162,40,1
39,91996,40,0
49,141944,42,0
53,251804,30,1
32,37070,45,0
34,337587,50,0
28,189346,45,0
57,222216,38,0
25,267044,20,3
20,214635,24,0
21,204226,35,0
34,108116,50,0
38,99146,80,0
50,196232,50,0
24,248344,50,1
37,186035,45,0
44,177905,58,0
28,85812,40,0
42,221172,40,0
