balance,duration,marital
2143,261,1
29,151,0
2,76,1
1506,92,1
1,198,0
231,139,1
447,217,0
2,380,2
121,50,1
593,55,0
270,222,2
390,137,0
6,517,1
71,71,1
162,174,1
229,353,1
13,98,0
52,38,1
60,219,1
0,54,1
723,262,1
779,164,1
23,160,0
50,342,1
0,181,1
-372,172,1
255,296,0
113,127,1
-246,255,0
265,348,0
839,225,1
378,230,1
39,208,1
0,226,1
10635,336,1
63,242,2
-7,365,1
-3,1666,1
506,577,2
0,137,0
2586,160,2
49,180,1
104,22,1
529,1492,1
96,616,1
-171,242,0
-364,355,1
0,225,1
0,160,2
0,363,0
1291,266,1
-244,253,2
0,179,1
-76,787,0
-103,145,0
243,174,0
424,104,0
306,13,1
24,185,0
179,1778,1
0,138,1
989,812,2
249,164,1
790,391,1
154,357,1
6530,91,1
100,528,1
59,273,2
1205,158,1
12223,177,0
5935,258,1
25,172,1
282,154,1
23,291,1
1937,181,1
384,176,1
582,211,1
91,349,2
0,272,2
1,208,2
206,193,0
164,212,2
690,20,0
2343,1042,1
137,246,1
173,529,1
45,1467,1
1270,1389,1
16,188,2
486,180,1
50,48,0
152,213,1
290,583,1
54,221,1
-37,173,2
101,426,1
383,287,1
81,101,1
0,203,1
229,197,1
-674,257,1
90,124,1
128,229,1
179,55,1
0,400,0
54,197,1
151,190,1
61,21,1
30,514,0
523,849,1
31,194,2
79,144,2
-34,212,1
448,286,1
81,107,2
144,247,1
351,518,1
-67,364,0
262,178,2
0,98,1
56,439,2
26,79,1
3,120,1
41,127,1
7,175,1
105,262,0
818,61,0
-16,78,1
0,143,1
2476,579,1
1185,677,1
217,345,0
1685,185,0
802,100,0
0,125,0
94,193,1
0,136,0
0,73,0
517,528,1
265,541,1
947,163,2
3,301,0
42,46,1
37,204,1
57,98,1
22,71,1
8,157,2
293,243,1
3,186,1
348,579,1
-19,163,1
0,610,0
-4,2033,1
18,85,1
139,114,1
0,114,1
1883,57,1
216,238,2
782,93,1
904,128,1
1705,107,1
47,181,0
176,303,0
1225,558,1
86,270,1
82,228,0
271,99,1
1378,240,1
184,673,1
0,233,1
0,1056,1
1357,250,1
19,252,1
434,138,0
92,130,2
1151,412,2
41,179,1
51,19,1
214,458,1
1161,717,1
37,313,1
787,683,2
59,1077,1
253,416,1
211,146,1
235,167,1
4384,315,2
4080,140,1
53,346,0
0,562,0
2127,172,1
377,217,1
73,142,1
445,67,1
243,291,1
307,309,0
155,248,1
173,98,2
400,256,1
1428,82,2
219,577,1
7,286,1
575,477,1
298,611,0
0,471,1
5699,381,1
176,42,1
517,251,1
257,408,0
56,215,1
-390,287,1
330,216,1
195,366,2
301,210,1
-41,288,1
483,168,1
28,338,1
13,410,1
965,177,1
378,127,1
219,357,1
324,175,1
-69,300,2
0,136,1
205,1419,2
278,125,1
1065,213,1
34,27,0
1033,238,1
1467,124,2
